,Game ID,Word,Group Name,Group Level,Starting Row,Starting Column
0,1,SNOW,WET WEATHER,0,1,1
1,1,LEVEL,PALINDROMES,3,1,2
2,1,SHIFT,KEYBOARD KEYS,2,1,3
3,1,KAYAK,PALINDROMES,3,1,4
4,1,HEAT,NBA TEAMS,1,2,1
5,1,TAB,KEYBOARD KEYS,2,2,2
6,1,BUCKS,NBA TEAMS,1,2,3
7,1,RETURN,KEYBOARD KEYS,2,2,4
8,1,JAZZ,NBA TEAMS,1,3,1
9,1,HAIL,WET WEATHER,0,3,2
10,1,OPTION,KEYBOARD KEYS,2,3,3
11,1,RAIN,WET WEATHER,0,3,4
12,1,SLEET,WET WEATHER,0,4,1
13,1,RACECAR,PALINDROMES,3,4,2
14,1,MOM,PALINDROMES,3,4,3
15,1,NETS,NBA TEAMS,1,4,4
16,2,PUMP,FOOTWEAR,0,1,1
17,2,FOOT,UNITS OF LENGTH,1,1,2
18,2,TIME,MAGAZINES,2,1,3
19,2,SEA,LETTER HOMOPHONES,3,1,4
20,2,LEAGUE,UNITS OF LENGTH,1,2,1
21,2,LOAFER,FOOTWEAR,0,2,2
22,2,WHY,LETTER HOMOPHONES,3,2,3
23,2,US,MAGAZINES,2,2,4
24,2,BOOT,FOOTWEAR,0,3,1
25,2,YARD,UNITS OF LENGTH,1,3,2
26,2,PEOPLE,MAGAZINES,2,3,3
27,2,ARE,LETTER HOMOPHONES,3,3,4
28,2,MILE,UNITS OF LENGTH,1,4,1
29,2,SNEAKER,FOOTWEAR,0,4,2
30,2,QUEUE,LETTER HOMOPHONES,3,4,3
31,2,ESSENCE,MAGAZINES,2,4,4
32,3,AMIGO,MEMBERS OF A TRIO,3,1,1
33,3,MOUTH,FACIAL FEATURES,0,1,2
34,3,LAB,"DOG BREEDS, INFORMALLY",2,1,3
35,3,STOOGE,MEMBERS OF A TRIO,3,1,4
36,3,WOLF,SYNONYMS FOR EAT,1,2,1
37,3,KING,MEMBERS OF A TRIO,3,2,2
38,3,NOSE,FACIAL FEATURES,0,2,3
39,3,CHOW,SYNONYMS FOR EAT,1,2,4
40,3,TENOR,MEMBERS OF A TRIO,3,3,1
41,3,POM,"DOG BREEDS, INFORMALLY",2,3,2
42,3,SCARF,SYNONYMS FOR EAT,1,3,3
43,3,EYE,FACIAL FEATURES,0,3,4
44,3,PIT,"DOG BREEDS, INFORMALLY",2,4,1
45,3,GOBBLE,SYNONYMS FOR EAT,1,4,2
46,3,PEKE,"DOG BREEDS, INFORMALLY",2,4,3
47,3,CHEEK,FACIAL FEATURES,0,4,4
48,4,DUST,CLEANING VERBS,2,1,1
49,4,CATS,MUSICALS BEGINNING WITH “C”,1,1,2
50,4,SPIDER,___ MAN SUPERHEROES,3,1,3
51,4,CAROUSEL,MUSICALS BEGINNING WITH “C”,1,1,4
52,4,PUMA,SNEAKER BRANDS,0,2,1
53,4,IRON,___ MAN SUPERHEROES,3,2,2
54,4,NIKE,SNEAKER BRANDS,0,2,3
55,4,MOP,CLEANING VERBS,2,2,4
56,4,CHICAGO,MUSICALS BEGINNING WITH “C”,1,3,1
57,4,SWEEP,CLEANING VERBS,2,3,2
58,4,SUPER,___ MAN SUPERHEROES,3,3,3
59,4,BAT,___ MAN SUPERHEROES,3,3,4
60,4,REEBOK,SNEAKER BRANDS,0,4,1
61,4,CABARET,MUSICALS BEGINNING WITH “C”,1,4,2
62,4,VACUUM,CLEANING VERBS,2,4,3
63,4,ADIDAS,SNEAKER BRANDS,0,4,4
64,5,MUSTARD,CLUE CHARACTERS,3,1,1
65,5,TARTAR,CONDIMENTS,1,1,2
66,5,PLUM,CLUE CHARACTERS,3,1,3
67,5,BLUE,SYNONYMS FOR SAD,2,1,4
68,5,GREEN,CLUE CHARACTERS,3,2,1
69,5,PRIME,STREAMING SERVICES,0,2,2
70,5,GLUM,SYNONYMS FOR SAD,2,2,3
71,5,RELISH,CONDIMENTS,1,2,4
72,5,DOWN,SYNONYMS FOR SAD,2,3,1
73,5,PEACOCK,STREAMING SERVICES,0,3,2
74,5,KETCHUP,CONDIMENTS,1,3,3
75,5,LOW,SYNONYMS FOR SAD,2,3,4
76,5,HULU,STREAMING SERVICES,0,4,1
77,5,SCARLET,CLUE CHARACTERS,3,4,2
78,5,MAYO,CONDIMENTS,1,4,3
79,5,NETFLIX,STREAMING SERVICES,0,4,4
80,6,WONDER,MEMBERS OF A SEPTET,3,1,1
81,6,FUTURE,RAPPERS,2,1,2
82,6,BABY,SHADES OF BLUE,1,1,3
83,6,GO,MONOPOLY SQUARES,0,1,4
84,6,SIN,MEMBERS OF A SEPTET,3,2,1
85,6,CHANCE,MONOPOLY SQUARES,0,2,2
86,6,ROYAL,SHADES OF BLUE,1,2,3
87,6,ICE CUBE,RAPPERS,2,2,4
88,6,MIDNIGHT,SHADES OF BLUE,1,3,1
89,6,JAIL,MONOPOLY SQUARES,0,3,2
90,6,SEA,MEMBERS OF A SEPTET,3,3,3
91,6,POWDER,SHADES OF BLUE,1,3,4
