,Game ID,word1,word2,word3,word4
0,1,SNOW,LEVEL,SHIFT,KAYAK
1,1,HEAT,TAB,BUCKS,RETURN
2,1,JAZZ,HAIL,OPTION,RAIN
3,1,SLEET,RACECAR,MOM,NETS
4,2,PUMP,FOOT,TIME,SEA
5,2,LEAGUE,LOAFER,WHY,US
6,2,BOOT,YARD,PEOPLE,ARE
7,2,MILE,SNEAKER,QUEUE,ESSENCE
8,3,AMIGO,MOUTH,LAB,STOOGE
9,3,WOLF,KING,NOSE,CHOW
10,3,TENOR,POM,SCARF,EYE
11,3,PIT,GOBBLE,PEKE,CHEEK
12,4,DUST,CATS,SPIDER,CAROUSEL
13,4,PUMA,IRON,NIKE,MOP
14,4,CHICAGO,SWEEP,SUPER,BAT
15,4,REEBOK,CABARET,VACUUM,ADIDAS
16,5,MUSTARD,TARTAR,PLUM,BLUE
17,5,GREEN,PRIME,GLUM,RELISH
18,5,DOWN,PEACOCK,KETCHUP,LOW
19,5,HULU,SCARLET,MAYO,NETFLIX
20,6,WONDER,FUTURE,BABY,GO
21,6,SIN,CHANCE,ROYAL,ICE CUBE
22,6,MIDNIGHT,JAIL,SEA,POWDER
23,6,Q-TIP,SISTER,BOARDWALK,COMMON
24,7,JOHN,CUB,STAR,SILVER
25,7,KNEE,THRONE,JOEY,JELLY
26,7,CALF,ANKLE,CRAY,HEAD
27,7,SHIN,CAN,KID,THIGH
28,8,LOCKSMITH,FIRE TRUCK,KING,PIANO
29,8,CHESS,RUBY,FLORIDA,TWIN
30,8,CHERRY,QUEEN,STOP SIGN,GO
31,8,CHECKERS,CRYPTOGRAPHY,FULL,BACKGAMMON
32,9,SQUASH,TEE,CARROT,ANT
33,9,TANK,CORN,CRICKET,MANTIS
34,9,POLO,ONION,BEETLE,BEET
35,9,CAMI,TERMITE,HALTER,FENCING
36,10,TWINS,TURKEY,GOAT,KIWI
37,10,SCALES,FISH,JORDAN,JAY
38,10,ORANGE,GEORGIA,DATE,CRANE
