Game ID,word1,word2,word3,word4
111,WOOD,IRON,WEDGE,PUTTER
185,ROUGH,GREEN,BUNKER,FAIRWAY
311,GROUNDS,GREEN,LAWN,FIELD
62,NU,PI,XI,MU
406,ELECTRIC,GAS,WOOD,CHARCOAL
542,BOARD,PANEL,CABINET,COUNCIL
388,MARBLE,BASEBALL,PEA,GRAPEFRUIT
372,BOB,CROP,FADE,SHAG
92,BAT,TOMBSTONE,PUMPKIN,COBWEB
102,DOG,MITT,DIGIT,PIGGY
203,COUNTDOWN,KISS,BALL,FIREWORKS
70,MEAL,HOUR,MEDIUM,CAMPER
181,NAIL,SCREW,BOLT,RIVET
27,BERET,FEZ,BOWLER,FEDORA
479,CATER,THROW,PLAN,HOST
206,TAP,BUG,MIKE,WIRE
234,VERTEX,PEAK,CREST,SUMMIT
334,ACE,CRACKERJACK,HOTSHOT,EXPERT
146,STRAW,TUBE,PIPE,HOSE
157,WE,WII,WEE,OUI
386,BYE,BI,BUY,BY
60,SAW,SCREAM,RING,PURGE
397,RING,FOG,BIRDS,OMEN
406,JET,FILTER,HEATER,PUMP
110,ROCK,HENRY,JENNIFER,KATE
233,SMART,STING,BURN,ACHE
181,SHAKE,FLOAT,SPLIT,SUNDAE
477,CUBE,MACHINE,CREAM,STORM
144,LIGHT,KINDLE,TORCH,BURN
230,CHARGE,FINE,LEVY,ASSESS
426,QUACK,SHAM,FRAUD,CHARLATAN
532,NEW,ORIGINAL,MINT,UNUSED
483,EPISODE,MATTER,AFFAIR,EVENT
185,BLUE,COARSE,BAWDY,RISQUE
403,WORD,PROMPT,SIGNAL,CUE
372,SWAY,PULL,WEIGHT,CLOUT
144,NEWS,INTEL,DATA,INFO
9,ANT,MANTIS,BEETLE,TERMITE
234,BAG,TILES,BOARD,RACKS
111,SHY,SHORT,WANTING,LOW
70,DIG,BARB,JAB,DISS
152,QUICK,BRIGHT,SHARP,SMART
118,ROSE,MAY,WILL,DREW
27,POT,ASS,RABBIT,KNIFE
60,PENDANT,BANGLE,ANKLET,BROOCH
334,JOKER,HER,SIGNS,GLADIATOR
30,HIP,KNEE,SHOULDER,WRIST
189,SPRING,VAULT,LEAP,BOUND
1,SHIFT,TAB,RETURN,OPTION
456,COWBOY,ANKLE,GO-GO,THIGH-HIGH
181,PEANUT,PALM,OLIVE,CORN
542,DROP,STUD,CHANDELIER,HOOP
213,PHYSICAL,BAR,FINAL,ORAL
397,WOOD,IRON,DRIVER,WEDGE
449,BOWIE,BUTTER,BUTTERFLY,BUTCHER
522,CARGO,HAMMER,STIRRUP,CAPRI
499,BIRTHDAY,COCKTAIL,SURPRISE,DINNER
478,GREEK,CHEF,GARDEN,WEDGE
325,MINI,POODLE,PENCIL,WRAP
305,MOCCASIN,BOA,MAMBA,ADDER
536,PACKING,GAFFER,DUCT,ELECTRICAL
301,MINERAL,SPRING,TAP,STILL
173,CRESCENT,MONKEY,SOCKET,ALLEN
105,LADLE,WHISK,GRATER,PEELER
512,YAHOO,DING-DONG,DODO,YO-YO
330,MICROSCOPE,BEAKER,DROPPER,GOGGLES
224,DESERT,MAROON,STRAND,DITCH
274,LAWSUIT,CLAIM,COMPLAINT,ACTION
222,TIGHT,JEAN,SHORT,PANT
109,BULB,BEER,YEAR,RAIL
21,BABY,WAYNE,KIM,JON
220,SLATE,TICKET,BALLOT,ROSTER
195,DASH,SPLASH,DROP,PINCH
273,LARGE,LEGEND,ROOM,PROOF
147,PIN,LANCE,SKEWER,SPIT
212,STICK,POLE,STAFF,ROD
114,AFGHAN,YAK,ANGORA,ALPACA
233,MIND,WATCH,GUARD,TEND
426,BUG,TWEET,PORK,SPEED
35,HORSESHOE,RAINBOW,CLOVER,MOON
103,SPLIT,GLASS,OLD,SIGNS
88,FURY,MAX,MAD,ROAD
522,CLAW,HORN,HOOF,NAIL
157,OK,O,US,W
